vize,katilim,final
78,11,47.64
18,66,29.17
63,16,39.78
6,83,26.74
29,47,38.2
8,89,33.35
40,13,24.1
86,5,54.08
99,50,82.93
20,6,12.04
74,23,49.98
65,37,41.86
48,98,56.93
42,23,26.34
4,42,11.05
38,40,27.45
3,5,12.51
6,96,40.05
37,89,49.25
7,65,19.5
70,77,66.65
84,86,72.89
82,69,74.89
43,99,64.78
54,99,64.04
37,24,26.51
64,2,32.25
69,5,46.86
2,57,26.28
95,45,78.6
13,99,33.02
48,86,53.27
42,50,35.33
26,62,30.56
35,25,25.49
17,69,32.69
81,47,63.24
2,25,14.1
29,77,32.89
23,51,28.4
30,57,34.25
60,29,44.06
76,74,76.05
65,21,42.48
5,81,17.53
39,66,43.09
27,82,36.46
94,7,54.3
13,86,36.72
24,38,18.52
94,86,89.34
73,52,61.92
60,18,46.55
51,3,29.6
67,25,53.19
77,12,50.15
96,91,86.79
58,1,32.23
66,52,48.18
66,3,41.71
20,73,26.33
7,51,10.46
32,83,45.51
30,95,50.46
84,77,64.85
60,83,62.33
29,9,29.52
100,46,65.94
63,56,61.47
12,68,29.19
51,54,45.27
55,30,40.09
8,16,17.43
94,69,78.31
96,83,86.03
37,83,56.75
12,49,22.02
11,53,13.34
5,93,27.72
2,93,21.89
64,59,62.3
88,32,62.7
5,96,24.01
91,48,68.96
11,83,25.8
55,100,71.71
67,76,57.91
75,35,53.58
64,44,58.23
72,28,48.43
25,67,39.84
6,87,20.96
95,84,77.06
69,25,43.53
4,81,26.49
72,33,58.78
70,48,57.58
49,11,33.57
18,10,11.61
53,100,55.92
84,68,62.93
23,77,35.01
60,22,50.0
2,76,19.4
16,50,22.2
16,57,30.32
18,50,21.12
63,18,46.01
98,95,85.3
15,79,35.94
65,73,58.12
98,21,60.9
6,31,20.72
95,22,58.4
66,48,48.55
99,14,71.98
61,70,50.08
19,8,9.72
40,81,50.21
3,67,27.54
81,89,66.04
15,72,36.04
78,87,71.71
37,40,27.41
55,50,52.0
43,79,57.01
48,58,52.39
90,27,55.88
0,18,2.58
48,87,61.79
1,4,0.0
7,12,10.19
27,86,32.37
93,70,67.47
99,54,75.77
61,20,52.25
38,67,47.48
69,48,53.2
79,3,50.31
19,78,35.36
99,69,79.51
47,25,33.93
70,2,39.97
7,78,22.91
62,24,49.23
37,80,48.62
63,22,37.38
34,59,45.36
70,36,62.7
73,96,69.76
99,83,88.17
78,79,64.81
63,83,71.5
74,30,61.45
27,25,13.76
72,34,55.19
16,26,14.05
73,69,63.79
89,83,76.29
58,50,53.68
64,51,62.81
9,31,10.92
3,71,31.69
3,34,13.77
24,71,25.78
12,94,39.66
10,20,11.41
13,73,20.08
65,8,41.6
58,3,36.27
34,44,26.16
95,49,71.5
23,5,14.47
95,57,81.25
87,75,80.99
18,74,24.98
70,80,70.6
96,62,80.4
24,20,13.27
86,54,58.36
56,4,30.21
12,34,13.17
27,52,22.95
88,22,60.96
35,53,43.79
47,15,35.48
19,81,37.19
77,23,47.74
58,85,54.92
73,43,54.93
2,42,8.49
27,2,20.88
100,42,76.7
21,89,46.4
89,2,59.27
94,48,62.88
86,7,50.63
46,66,39.55
71,17,38.22
90,33,55.33
86,15,61.84
2,24,4.25
47,78,45.56
96,16,68.06
67,95,72.03
29,91,47.72
19,93,45.91
29,82,32.87
40,23,33.86
33,47,33.07
66,6,38.09
95,69,77.87
55,79,65.77
83,4,42.8
53,97,58.59
69,17,38.02
42,69,49.63
21,21,23.44
81,88,83.17
8,34,17.04
30,45,24.91
1,87,23.56
26,38,26.23
49,42,36.23
28,10,25.74
90,96,86.04
10,40,14.69
96,60,83.49
12,5,1.31
